,Population,Stock,PpD,Stock Change,Inflow,Outflow,Stock change
1600,0,,0,0,0.0,,
1601,0,0.0,0,0,0.0,0.0,0.0
1602,0,0.0,0,0,0.0,0.0,0.0
1603,0,0.0,0,0,0.0,0.0,0.0
1604,0,0.0,0,0,0.0,0.0,0.0
1605,0,0.0,0,0,0.0,0.0,0.0
1606,0,0.0,0,0,0.0,0.0,0.0
1607,0,0.0,0,0,0.0,0.0,0.0
1608,0,0.0,0,0,0.0,0.0,0.0
1609,0,0.0,0,0,0.0,0.0,0.0
1610,0,0.0,0,0,0.0,0.0,0.0
1611,0,0.0,0,0,0.0,0.0,0.0
1612,0,0.0,0,0,0.0,0.0,0.0
1613,0,0.0,0,0,0.0,0.0,0.0
1614,0,0.0,0,0,0.0,0.0,0.0
1615,0,0.0,0,0,0.0,0.0,0.0
1616,0,0.0,0,0,0.0,0.0,0.0
1617,0,0.0,0,0,0.0,0.0,0.0
1618,0,0.0,0,0,0.0,0.0,0.0
1619,0,0.0,0,0,0.0,0.0,0.0
1620,0,0.0,0,0,0.0,0.0,0.0
1621,0,0.0,0,0,0.0,0.0,0.0
1622,0,0.0,0,0,0.0,0.0,0.0
1623,0,0.0,0,0,0.0,0.0,0.0
1624,0,0.0,0,0,0.0,0.0,0.0
1625,0,0.0,0,0,0.0,0.0,0.0
1626,0,0.0,0,0,0.0,0.0,0.0
1627,0,0.0,0,0,0.0,0.0,0.0
1628,0,0.0,0,0,0.0,0.0,0.0
1629,0,0.0,0,0,0.0,0.0,0.0
1630,0,0.0,0,0,0.0,0.0,0.0
1631,0,0.0,0,0,0.0,0.0,0.0
1632,0,0.0,0,0,0.0,0.0,0.0
1633,0,0.0,0,0,0.0,0.0,0.0
1634,0,0.0,0,0,0.0,0.0,0.0
1635,0,0.0,0,0,0.0,0.0,0.0
1636,0,0.0,0,0,0.0,0.0,0.0
1637,0,0.0,0,0,0.0,0.0,0.0
1638,0,0.0,0,0,0.0,0.0,0.0
1639,0,0.0,0,0,0.0,0.0,0.0
1640,0,0.0,0,0,0.0,0.0,0.0
1641,0,0.0,0,0,0.0,0.0,0.0
1642,0,0.0,0,0,0.0,0.0,0.0
1643,0,0.0,0,0,0.0,0.0,0.0
1644,0,0.0,0,0,0.0,0.0,0.0
1645,0,0.0,0,0,0.0,0.0,0.0
1646,0,0.0,0,0,0.0,0.0,0.0
1647,0,0.0,0,0,0.0,0.0,0.0
1648,0,0.0,0,0,0.0,0.0,0.0
1649,0,0.0,0,0,0.0,0.0,0.0
1650,0,0.0,0,0,0.0,0.0,0.0
1651,0,0.0,0,0,0.0,0.0,0.0
1652,0,0.0,0,0,0.0,0.0,0.0
1653,0,0.0,0,0,0.0,0.0,0.0
1654,0,0.0,0,0,0.0,0.0,0.0
1655,0,0.0,0,0,0.0,0.0,0.0
1656,0,0.0,0,0,0.0,0.0,0.0
1657,0,0.0,0,0,0.0,0.0,0.0
1658,0,0.0,0,0,0.0,0.0,0.0
1659,0,0.0,0,0,0.0,0.0,0.0
1660,0,0.0,0,0,0.0,0.0,0.0
1661,0,0.0,0,0,0.0,0.0,0.0
1662,0,0.0,0,0,0.0,0.0,0.0
1663,0,0.0,0,0,0.0,0.0,0.0
1664,0,0.0,0,0,0.0,0.0,0.0
1665,0,0.0,0,0,0.0,0.0,0.0
1666,0,0.0,0,0,0.0,0.0,0.0
1667,0,0.0,0,0,0.0,0.0,0.0
1668,0,0.0,0,0,0.0,0.0,0.0
1669,0,0.0,0,0,0.0,0.0,0.0
1670,0,0.0,0,0,0.0,0.0,0.0
1671,0,0.0,0,0,0.0,0.0,0.0
1672,0,0.0,0,0,0.0,0.0,0.0
1673,0,0.0,0,0,0.0,0.0,0.0
1674,0,0.0,0,0,0.0,0.0,0.0
1675,0,0.0,0,0,0.0,0.0,0.0
1676,0,0.0,0,0,0.0,0.0,0.0
1677,0,0.0,0,0,0.0,0.0,0.0
1678,0,0.0,0,0,0.0,0.0,0.0
1679,0,0.0,0,0,0.0,0.0,0.0
1680,0,0.0,0,0,0.0,0.0,0.0
1681,0,0.0,0,0,0.0,0.0,0.0
1682,0,0.0,0,0,0.0,0.0,0.0
1683,0,0.0,0,0,0.0,0.0,0.0
1684,0,0.0,0,0,0.0,0.0,0.0
1685,0,0.0,0,0,0.0,0.0,0.0
1686,0,0.0,0,0,0.0,0.0,0.0
1687,0,0.0,0,0,0.0,0.0,0.0
1688,0,0.0,0,0,0.0,0.0,0.0
1689,0,0.0,0,0,0.0,0.0,0.0
1690,0,0.0,0,0,0.0,0.0,0.0
1691,0,0.0,0,0,0.0,0.0,0.0
1692,0,0.0,0,0,0.0,0.0,0.0
1693,0,0.0,0,0,0.0,0.0,0.0
1694,0,0.0,0,0,0.0,0.0,0.0
1695,0,0.0,0,0,0.0,0.0,0.0
1696,0,0.0,0,0,0.0,0.0,0.0
1697,0,0.0,0,0,0.0,0.0,0.0
1698,0,0.0,0,0,0.0,0.0,0.0
1699,0,0.0,0,0,0.0,0.0,0.0
1700,0,0.0,0,0,0.0,0.0,0.0
1701,0,0.0,0,0,0.0,0.0,0.0
1702,0,0.0,0,0,0.0,0.0,0.0
1703,0,0.0,0,0,0.0,0.0,0.0
1704,0,0.0,0,0,0.0,0.0,0.0
1705,0,0.0,0,0,0.0,0.0,0.0
1706,0,0.0,0,0,0.0,0.0,0.0
1707,0,0.0,0,0,0.0,0.0,0.0
1708,0,0.0,0,0,0.0,0.0,0.0
1709,0,0.0,0,0,0.0,0.0,0.0
1710,0,0.0,0,0,0.0,0.0,0.0
1711,0,0.0,0,0,0.0,0.0,0.0
1712,0,0.0,0,0,0.0,0.0,0.0
1713,0,0.0,0,0,0.0,0.0,0.0
1714,0,0.0,0,0,0.0,0.0,0.0
1715,0,0.0,0,0,0.0,0.0,0.0
1716,0,0.0,0,0,0.0,0.0,0.0
1717,0,0.0,0,0,0.0,0.0,0.0
1718,0,0.0,0,0,0.0,0.0,0.0
1719,0,0.0,0,0,0.0,0.0,0.0
1720,0,0.0,0,0,0.0,0.0,0.0
1721,0,0.0,0,0,0.0,0.0,0.0
1722,0,0.0,0,0,0.0,0.0,0.0
1723,0,0.0,0,0,0.0,0.0,0.0
1724,0,0.0,0,0,0.0,0.0,0.0
1725,0,0.0,0,0,0.0,0.0,0.0
1726,0,0.0,0,0,0.0,0.0,0.0
1727,0,0.0,0,0,0.0,0.0,0.0
1728,0,0.0,0,0,0.0,0.0,0.0
1729,0,0.0,0,0,0.0,0.0,0.0
1730,0,0.0,0,0,0.0,0.0,0.0
1731,0,0.0,0,0,0.0,0.0,0.0
1732,0,0.0,0,0,0.0,0.0,0.0
1733,0,0.0,0,0,0.0,0.0,0.0
1734,0,0.0,0,0,0.0,0.0,0.0
1735,0,0.0,0,0,0.0,0.0,0.0
1736,0,0.0,0,0,0.0,0.0,0.0
1737,0,0.0,0,0,0.0,0.0,0.0
1738,0,0.0,0,0,0.0,0.0,0.0
1739,0,0.0,0,0,0.0,0.0,0.0
1740,0,0.0,0,0,0.0,0.0,0.0
1741,0,0.0,0,0,0.0,0.0,0.0
1742,0,0.0,0,0,0.0,0.0,0.0
1743,0,0.0,0,0,0.0,0.0,0.0
1744,0,0.0,0,0,0.0,0.0,0.0
1745,0,0.0,0,0,0.0,0.0,0.0
1746,0,0.0,0,0,0.0,0.0,0.0
1747,0,0.0,0,0,0.0,0.0,0.0
